feature_name	feature_family	tumor_patients	control_patients	tumor_mean	control_mean	coefficient_tumor_vs_control	standard_error	p_value	q_value	dataset_id
HALLMARK_PROTEIN_SECRETION	Hallmark	24	11	0.643414082628052	0.636701389840569	0.00671269278748291	0.00413254720204573	0.106091206091976	0.212182412183953	PENG_CRA001160
HALLMARK_SPERMATOGENESIS	Hallmark	24	11	0.0862382281383774	0.087307417704857	-0.00106918956647971	0.00399375618869441	0.789231966326369	0.789231966326369	PENG_CRA001160
MEblack	WGCNA-module	24	11	0.304579573060671	0.271132668439173	0.0334469046214977	0.00544478479512279	5.25255351299727e-09	6.56569189124658e-09	PENG_CRA001160
MEblue	WGCNA-module	24	11	0.35826484086048	0.293958805296147	0.0643060355643331	0.00543996950932844	4.14056574131532e-24	2.07028287065766e-23	PENG_CRA001160
MEgreen	WGCNA-module	24	11	0.377262881487363	0.302676892062897	0.0745859894244662	0.00703255452944539	1.24117128564447e-20	3.10292821411116e-20	PENG_CRA001160
MEtan	WGCNA-module	24	11	0.229381946394018	0.23547717142262	-0.00609522502860219	0.0059728434234796	0.308896971323291	0.308896971323291	PENG_CRA001160
MEgreenyellow	WGCNA-module	24	11	0.327582984631369	0.39766210262799	-0.0700791179966217	0.00737146892740299	1.47815596723617e-17	2.46359327872695e-17	PENG_CRA001160
CTCFL	externally replicated TF	24	11	3.22822276134426	3.28977551870781	-0.0615527573635408	0.132262638244219	0.6422326763065	0.7706792115678	PENG_CRA001160
IRF3	externally replicated TF	24	11	5.18158452339548	4.37288353048629	0.808700992909194	0.0837596274391669	5.75606292442458e-18	6.9072755093095e-17	PENG_CRA001160
JUNB	externally replicated TF	24	11	6.66549955854043	6.52036904721926	0.145130511321182	0.091224596014275	0.113423447027377	0.226846894054754	PENG_CRA001160
KLF13	externally replicated TF	24	11	-4.66019756271548	-4.64803527336053	-0.0121622893549536	0.0797975322705841	0.879034721078286	0.879034721078286	PENG_CRA001160
KLF9	externally replicated TF	24	11	6.30586136061527	6.5392728667724	-0.233411506157136	0.184408599177129	0.207282697607511	0.310924046411266	PENG_CRA001160
MNT	externally replicated TF	24	11	-6.0799010580069	-5.64356127201295	-0.436339785993951	0.113184858480621	0.000161994943805526	0.000485984831416577	PENG_CRA001160
MXI1	externally replicated TF	24	11	-8.02722346192697	-8.16260679870131	0.13538333677434	0.102641477610878	0.188885177663345	0.310924046411266	PENG_CRA001160
SNAI2	externally replicated TF	24	11	-5.17895055883793	-4.8174951252985	-0.361455433539431	0.118727260443272	0.0026892351136975	0.006454164272874	PENG_CRA001160
TFAP4	externally replicated TF	24	11	3.08559132365198	3.18519786715998	-0.0996065435080052	0.116790531026357	0.394893381294958	0.526524508393278	PENG_CRA001160
TP63	externally replicated TF	24	11	0.764977213349826	0.271227153500676	0.493750059849155	0.0752659532455348	5.78698744097005e-10	3.47219246458203e-09	PENG_CRA001160
ZBTB7A	externally replicated TF	24	11	-5.85132690981283	-5.80551127239629	-0.0458156374165443	0.184017664586133	0.803671100585272	0.876732109729387	PENG_CRA001160
ZNF24	externally replicated TF	24	11	-1.27852131907872	-0.874848579045995	-0.403672740032732	0.0652165029298311	4.11842043264422e-09	1.64736817305769e-08	PENG_CRA001160
BHLHE40	partially replicated TF	24	11	-6.73935181854179	-6.00607015474249	-0.733281663799309	0.138082981625705	3.2691530744734e-07	2.12494949840771e-06	PENG_CRA001160
E2F6	partially replicated TF	24	11	-5.36255674493052	-5.08042557076178	-0.282131174168749	0.122391613451106	0.0223250635058663	0.0580451651152523	PENG_CRA001160
ELF1	partially replicated TF	24	11	6.9350466966961	6.84963051395094	0.0854161827451594	0.113563982825842	0.452970687753912	0.539311174364833	PENG_CRA001160
GRHL2	partially replicated TF	24	11	4.44396912608999	4.25139337830592	0.192575747784072	0.218209895973059	0.378696595119158	0.539311174364833	PENG_CRA001160
KLF1	partially replicated TF	24	11	5.37402806362821	4.82172698395276	0.552301079675462	0.107269121102043	6.96747358038763e-07	3.0192385515013e-06	PENG_CRA001160
MBD1	partially replicated TF	24	11	-4.69192029980315	-4.57127600598158	-0.12064429382157	0.10350316377481	0.24534950227844	0.398692941202465	PENG_CRA001160
MBD2	partially replicated TF	24	11	-0.49615543281382	-0.460637451216857	-0.0355179815969628	0.0703019956313807	0.614036321613783	0.665206015081598	PENG_CRA001160
OTX2	partially replicated TF	24	11	1.73029688600122	1.80815179944501	-0.0778549134437934	0.104288334748732	0.456340224462551	0.539311174364833	PENG_CRA001160
SIX5	partially replicated TF	24	11	2.89744974852199	3.31596530793084	-0.418515559408857	0.0888545471938882	5.00415176045459e-06	1.62634932214774e-05	PENG_CRA001160
SNAPC4	partially replicated TF	24	11	2.89021001573372	2.77586791930246	0.114342096431265	0.0856125936490533	0.183412630931209	0.340623457443673	PENG_CRA001160
ZBED1	partially replicated TF	24	11	4.72478453948016	4.2604444674479	0.464340072032258	0.0671634977251933	8.37664877518647e-11	1.08896434077424e-09	PENG_CRA001160
ZNF384	partially replicated TF	24	11	7.23862336884872	7.38485508455156	-0.146231715702839	0.103865806238164	0.160927232932529	0.340623457443673	PENG_CRA001160
ZNF740	partially replicated TF	24	11	4.92824665972452	4.91853296876616	0.00971369095836264	0.0910678633228642	0.915176779332981	0.915176779332981	PENG_CRA001160
